publisheddate,keyword,engagement_view,engagement_comment,engagement_share,engagement_like,engagement_love,engagement_sad,engagement_wow,engagement_angry
2025-04-30 15:05:39,"671b657b6dc858aa8fb90ccd, 671b657b6dc858aa8fb90ccd_671b65d76dc858aa8fb90fd6, 671b657b6dc858aa8fb90ccd_671b65d76dc858aa8fb90fd6_6721bf156dc858aa8fdf5ed0, 671b657b6dc858aa8fb90ccd_671b65d76dc858aa8fb90fd6_672b126a6dc858aa8f0bd740",0,0,0,29,3,0,0,0
2025-04-30 15:00:07,67a5b2a163b8fc3a5270bb5b,0,0,21,19,0,0,0,0
2025-04-30 20:54:22,"6710d4ef60d187c89f8e9c0d, 6710d4ef60d187c89f8e9c0d_6710d97760d187c89f8eb838",0,1,5,96,0,0,0,0
2025-04-30 08:00:24,"6712337860d187c89f968c13, 6712337860d187c89f968c13_671238f260d187c89f96af0e",0,0,0,1,0,0,0,0
2025-05-01 00:30:02,,0,1283,287,8074,16,40,157,188
2025-04-30 22:02:47,677b7d38054b92e7d2682612,0,279,43,2394,26,1,7,8
2025-04-30 14:27:12,"6710d4ef60d187c89f8e9c0d, 6710d4ef60d187c89f8e9c0d_6710d97760d187c89f8eb838",0,0,1,6,0,0,0,0
2025-04-30 19:33:09,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b0a60d187c89f62cd8f",0,0,10,76,22,0,0,0
2025-04-30 21:41:42,"6712337860d187c89f968c13, 6712337860d187c89f968c13_671238f260d187c89f96af0e",0,4,35,66,2,0,0,0
2025-04-30 20:59:46,677b7d38054b92e7d2682612,467219,379,85,10700,351,2,5,3
2025-05-01 01:05:34,"6719e79d6dc858aa8fb0b4cb, 6719e79d6dc858aa8fb0b4cb_6719ff506dc858aa8fb14862",10377,8,7,73,9,0,0,0
2025-04-30 19:54:51,677b7d38054b92e7d2682612,0,5,3,188,2,1,2,0
2025-04-30 20:57:13,677b7d38054b92e7d2682612,0,45,22,1182,97,0,2,0
2025-04-30 18:59:57,677b7d38054b92e7d2682612,0,1,1,163,2,0,1,0
2025-04-30 21:33:39,677b7d38054b92e7d2682612,75253,12,23,2298,90,0,0,0
2025-04-30 21:57:53,671b657b6dc858aa8fb90ccd,0,1,0,7,0,0,0,0
2025-04-30 20:32:21,671b657b6dc858aa8fb90ccd,0,23,36,2074,20,1,3,0
2025-04-30 16:23:31,"6719e79d6dc858aa8fb0b4cb, 6719e79d6dc858aa8fb0b4cb_6719e8806dc858aa8fb0b9aa",23416,34,9,364,28,5,2,0
2025-04-30 21:21:45,671b657b6dc858aa8fb90ccd,0,38,406,2821,1770,2,18,0
2025-04-30 20:56:59,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b0a60d187c89f62cd8f",0,6,24,61,3,2,0,0
2025-04-30 20:17:03,677b7d38054b92e7d2682612,0,85,7,775,20,0,2,1
2025-04-30 23:19:09,"6719e79d6dc858aa8fb0b4cb, 6719e79d6dc858aa8fb0b4cb_6719e8576dc858aa8fb0b8c4",1176,3,0,12,2,0,0,0
2025-04-30 20:00:23,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b3160d187c89f62cf1c",23,0,0,0,0,0,0,0
2025-04-30 22:06:42,677b7d38054b92e7d2682612,9249,4,10,245,18,0,1,0
2025-04-30 17:00:01,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b0a60d187c89f62cd8f, 67093a4c60d187c89f62c9ee_67093b3160d187c89f62cf1c",0,0,0,8,2,0,1,0
2025-04-30 20:00:47,"6719e79d6dc858aa8fb0b4cb, 6719e79d6dc858aa8fb0b4cb_6719ff506dc858aa8fb14862",23941,0,0,78,1,0,0,0
2025-04-30 23:50:46,677b7d38054b92e7d2682612,0,320,1237,12265,3596,1,9,1
2025-04-30 18:17:42,671b657b6dc858aa8fb90ccd,0,0,0,28,0,0,0,0
2025-04-30 21:22:46,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093ab260d187c89f62cc15, 67093a4c60d187c89f62c9ee_67093b0a60d187c89f62cd8f, 67093a4c60d187c89f62c9ee_67093b3160d187c89f62cf1c, 67093a4c60d187c89f62c9ee_675006434ea656c706fc046a, 675a94104ea656c7061d6994",0,10,17,86,6,0,0,0
2025-04-30 23:09:14,"6710d4ef60d187c89f8e9c0d, 6710d4ef60d187c89f8e9c0d_6710d97760d187c89f8eb838",0,0,16,374,3,7,2,0
2025-04-30 08:56:06,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b0a60d187c89f62cd8f",0,1,0,7,2,0,0,0
2025-04-30 14:49:14,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093ab260d187c89f62cc15, 675a94104ea656c7061d6994",0,0,0,21,1,0,0,0
2025-04-30 20:00:02,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b3160d187c89f62cf1c",55,0,0,0,0,0,0,0
2025-04-30 14:01:09,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093ab260d187c89f62cc15",0,0,0,8,1,0,0,0
2025-04-30 15:08:19,"6710d4ef60d187c89f8e9c0d, 6710d4ef60d187c89f8e9c0d_6710d97760d187c89f8eb838",35981,244,37,959,97,0,1,0
2025-04-30 12:15:33,"6712337860d187c89f968c13, 6712337860d187c89f968c13_6712358e60d187c89f969937",0,6,12,91,1,0,1,0
2025-04-30 15:05:31,"6710d4ef60d187c89f8e9c0d, 6710d4ef60d187c89f8e9c0d_6710d97760d187c89f8eb838",0,0,0,28,0,0,0,0
2025-04-30 19:11:42,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093ab260d187c89f62cc15, 67093a4c60d187c89f62c9ee_67160ee26dc858aa8f965ec7, 675a94104ea656c7061d6994",0,0,3,15,2,0,0,0
2025-04-30 17:03:03,677b7d38054b92e7d2682612,0,0,10,20,2,0,0,0
2025-04-30 14:29:38,"6710d4ef60d187c89f8e9c0d, 6710d4ef60d187c89f8e9c0d_6710d97760d187c89f8eb838",0,0,0,10,0,0,0,0
2025-04-30 23:45:19,671b657b6dc858aa8fb90ccd,0,23,1,123,34,0,0,0
2025-04-30 22:25:44,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_675006434ea656c706fc046a",0,7,13,366,118,1,0,0
2025-04-22 09:28:31,677b7d38054b92e7d2682612,0,1,24,85,3,0,0,0
2025-04-30 20:53:27,677b7d38054b92e7d2682612,0,5,3,330,13,0,0,0
2025-04-30 13:00:12,677b7d38054b92e7d2682612,0,0,2,13,0,0,0,0
2025-04-30 16:27:13,"6719e79d6dc858aa8fb0b4cb, 6719e79d6dc858aa8fb0b4cb_6719e8806dc858aa8fb0b9aa",0,1,3,40,3,0,0,0
2025-04-30 16:00:02,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b3160d187c89f62cf1c",0,0,0,0,0,0,0,0
2025-04-30 17:53:00,671b657b6dc858aa8fb90ccd,0,7,93,399,4,0,0,0
2025-04-30 22:00:13,677b7d38054b92e7d2682612,0,4,2,331,2,0,0,0
2025-04-30 19:15:56,677b7d38054b92e7d2682612,0,16,13,616,21,0,0,0
2025-04-30 14:00:08,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b3160d187c89f62cf1c",0,0,0,0,0,0,0,0
2025-04-30 20:00:22,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b3160d187c89f62cf1c",61,0,2,1,0,0,0,0
2025-04-30 10:48:37,"6710d4ef60d187c89f8e9c0d, 6710d4ef60d187c89f8e9c0d_6710d97760d187c89f8eb838",0,0,0,0,0,0,0,0
2025-04-30 21:28:07,677b7d38054b92e7d2682612,3677,2,0,95,7,1,0,0
2025-04-30 19:00:58,"6719e79d6dc858aa8fb0b4cb, 6719e79d6dc858aa8fb0b4cb_6719e8806dc858aa8fb0b9aa",115967,10,9,1733,7,0,1,0
2025-04-30 11:30:04,"6712337860d187c89f968c13, 6712337860d187c89f968c13_671236d660d187c89f96a21e",0,0,0,2,0,0,0,0
2025-04-30 16:00:01,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b3160d187c89f62cf1c",0,0,0,0,0,0,0,0
2025-04-30 16:01:00,"6712337860d187c89f968c13, 6712337860d187c89f968c13_6712358e60d187c89f969937, 6712337860d187c89f968c13_6712358e60d187c89f969937_6715d45e6dc858aa8f948b7c, 6712337860d187c89f968c13_6712358e60d187c89f969937_6715d6b96dc858aa8f9499db",0,5,34,111,1,0,1,0
2025-04-30 08:32:15,671b657b6dc858aa8fb90ccd,0,0,0,0,0,0,0,0
2025-04-30 20:53:24,"6710d4ef60d187c89f8e9c0d, 6710d4ef60d187c89f8e9c0d_6710d97760d187c89f8eb838",0,0,2,10,0,0,0,0
2025-04-30 11:30:59,677b7d38054b92e7d2682612,0,0,1,494,7,0,1,0
2025-04-30 14:00:05,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b3160d187c89f62cf1c",0,0,0,0,0,0,0,0
2025-04-30 08:14:52,675a94104ea656c7061d6994,0,0,0,0,0,0,0,0
2025-04-30 14:00:02,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b3160d187c89f62cf1c",0,0,0,0,0,0,0,0
2025-04-30 20:17:49,"6710d4ef60d187c89f8e9c0d, 6710d4ef60d187c89f8e9c0d_6710d97760d187c89f8eb838",0,0,0,7,0,0,0,0
2025-04-30 15:38:23,"6712337860d187c89f968c13, 6712337860d187c89f968c13_671236d660d187c89f96a21e",0,0,0,0,0,0,0,0
2025-04-30 16:24:37,"6712337860d187c89f968c13, 6712337860d187c89f968c13_6712358e60d187c89f969937",0,0,2,5,0,0,0,0
2025-05-01 00:38:02,677b7d38054b92e7d2682612,0,0,0,6,0,0,0,0
2025-04-30 21:23:14,677b7d38054b92e7d2682612,0,4,7,143,11,0,0,0
2025-04-30 18:30:03,"6710d4ef60d187c89f8e9c0d, 6710d4ef60d187c89f8e9c0d_6710d97760d187c89f8eb838",0,0,0,10,3,0,0,25
2025-05-01 02:11:51,"6719e79d6dc858aa8fb0b4cb, 6719e79d6dc858aa8fb0b4cb_6719e80e6dc858aa8fb0b74c",0,2,4,91,9,0,0,0
2025-04-30 14:00:05,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b3160d187c89f62cf1c",0,0,0,0,0,0,0,0
2025-05-01 01:30:34,"6719e79d6dc858aa8fb0b4cb, 6719e79d6dc858aa8fb0b4cb_6719ff506dc858aa8fb14862",4326,0,2,24,0,0,0,0
2025-04-30 16:00:00,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b3160d187c89f62cf1c",0,0,0,0,0,0,0,0
2025-04-30 22:48:02,"6710d4ef60d187c89f8e9c0d, 6710d4ef60d187c89f8e9c0d_6710d97760d187c89f8eb838",0,16,41,703,0,5,7,8
2025-04-30 23:09:43,677b7d38054b92e7d2682612,0,65,200,2547,848,0,0,0
2025-05-01 02:00:32,,16761,1,0,100,1,0,1,0
2025-05-01 01:30:02,,0,12,5,850,4,0,8,0
2025-05-01 00:30:50,"6719e79d6dc858aa8fb0b4cb, 6719e79d6dc858aa8fb0b4cb_6719e8576dc858aa8fb0b8c4",0,1,1,6,0,0,0,0
2025-04-30 13:30:53,"6719e79d6dc858aa8fb0b4cb, 6719e79d6dc858aa8fb0b4cb_6719e8576dc858aa8fb0b8c4",0,0,0,2,0,0,0,0
2025-05-01 02:30:03,,0,86,14,1349,5,9,5,49
2025-04-30 19:24:30,677b7d38054b92e7d2682612,0,41,108,1107,263,0,2,0
2025-04-30 15:45:56,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b3160d187c89f62cf1c",0,4,21,117,1,0,0,0
2025-04-30 10:00:04,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b3160d187c89f62cf1c",0,0,0,1,0,0,0,0
2025-04-30 15:52:33,677b7d38054b92e7d2682612,0,0,0,3,0,0,0,0
2025-04-30 19:16:46,677b7d38054b92e7d2682612,0,66,136,1719,381,1,4,0
2025-04-30 14:22:04,"6712337860d187c89f968c13, 6712337860d187c89f968c13_671236d660d187c89f96a21e",0,0,1,2,1,0,0,0
2025-04-30 23:44:57,671b657b6dc858aa8fb90ccd,0,1,0,330,1,0,0,0
2025-04-30 16:26:40,"6712337860d187c89f968c13, 6712337860d187c89f968c13_6712358e60d187c89f969937",0,0,0,16,1,0,0,0
2025-04-30 09:47:23,677b7d38054b92e7d2682612,0,4,2,397,30,0,0,0
2025-04-30 21:30:09,"6712337860d187c89f968c13, 6712337860d187c89f968c13_671238f260d187c89f96af0e",0,0,0,3,0,0,0,0
2025-05-01 01:10:22,"6719e79d6dc858aa8fb0b4cb, 6719e79d6dc858aa8fb0b4cb_6719ff506dc858aa8fb14862",978,2,1,32,4,0,0,0
2025-04-30 17:23:49,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b0a60d187c89f62cd8f",0,0,0,0,0,0,0,0
2025-05-01 01:37:44,677b7d38054b92e7d2682612,0,1,0,27,2,0,0,0
2025-04-30 13:26:52,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093ab260d187c89f62cc15, 67093a4c60d187c89f62c9ee_67093b0a60d187c89f62cd8f, 6712337860d187c89f968c13, 6712337860d187c89f968c13_6712358e60d187c89f969937, 6712337860d187c89f968c13_6712358e60d187c89f969937_6715d6b96dc858aa8f9499db, 675a94104ea656c7061d6994",0,0,0,4,0,0,0,0
2025-04-30 18:28:04,"6710d4ef60d187c89f8e9c0d, 6710d4ef60d187c89f8e9c0d_6710d97760d187c89f8eb838",0,1,5,56,8,0,0,0
2025-04-30 14:15:16,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093ab260d187c89f62cc15, 67093a4c60d187c89f62c9ee_67093b3160d187c89f62cf1c, 67093a4c60d187c89f62c9ee_675006434ea656c706fc046a, 675a94104ea656c7061d6994",0,0,0,0,0,0,0,0
2025-04-30 14:54:05,"6710d4ef60d187c89f8e9c0d, 6710d4ef60d187c89f8e9c0d_6710d97760d187c89f8eb838",0,1,0,16,0,0,0,0
2025-04-30 20:17:24,671b657b6dc858aa8fb90ccd,0,1,0,6,0,0,0,0
2025-04-30 18:21:00,"6719e79d6dc858aa8fb0b4cb, 6719e79d6dc858aa8fb0b4cb_6719e8806dc858aa8fb0b9aa",33861,99,66,1180,177,2,0,0
2025-04-30 15:15:35,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b0a60d187c89f62cd8f",0,10,40,121,14,0,0,0
2025-04-30 16:00:24,"6719e79d6dc858aa8fb0b4cb, 6719e79d6dc858aa8fb0b4cb_6719e80e6dc858aa8fb0b74c",0,2,5,164,3,0,0,0
2025-04-30 21:55:33,677b7d38054b92e7d2682612,0,8,3,701,2,0,2,0
2025-05-01 01:15:34,"6719e79d6dc858aa8fb0b4cb, 6719e79d6dc858aa8fb0b4cb_6719ff506dc858aa8fb14862",4036,0,0,13,0,0,0,0
2025-04-30 09:00:15,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093ab260d187c89f62cc15, 67093a4c60d187c89f62c9ee_67093b0a60d187c89f62cd8f, 675a94104ea656c7061d6994",0,0,4,15,0,0,0,0
2025-04-30 14:00:06,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b3160d187c89f62cf1c",0,0,0,0,0,0,0,0
2025-04-30 18:51:16,677b7d38054b92e7d2682612,0,143,50,2219,21,4,11,2
2025-04-30 09:23:36,677b7d38054b92e7d2682612,0,0,2,28,2,0,0,0
2025-04-30 15:10:55,"6712337860d187c89f968c13, 6712337860d187c89f968c13_6712358e60d187c89f969937",0,0,1,6,0,0,0,0
2025-05-01 01:25:33,"6719e79d6dc858aa8fb0b4cb, 6719e79d6dc858aa8fb0b4cb_6719ff506dc858aa8fb14862",4505,0,0,28,3,0,0,0
2025-04-30 18:00:11,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093ab260d187c89f62cc15",0,0,9,54,4,0,0,0
2025-04-30 14:00:22,"6719e79d6dc858aa8fb0b4cb, 6719e79d6dc858aa8fb0b4cb_6719ea326dc858aa8fb0c4e4",0,0,1,3,0,0,0,0
2025-04-30 19:30:03,"6792168e63b8fc3a5239de7d, 675a94104ea656c7061d6994",0,0,2,7,0,0,0,0
2025-04-30 17:00:38,"6719e79d6dc858aa8fb0b4cb, 6719e79d6dc858aa8fb0b4cb_6719ea326dc858aa8fb0c4e4",0,0,8,37,2,0,0,0
2025-04-30 18:15:03,675a94104ea656c7061d6994,0,0,0,6,0,0,0,0
2025-04-30 22:22:55,"6710d4ef60d187c89f8e9c0d, 6710d4ef60d187c89f8e9c0d_6710d97760d187c89f8eb838",0,3,5,399,0,1,2,0
2025-04-30 17:29:14,"6712337860d187c89f968c13, 6712337860d187c89f968c13_6712358e60d187c89f969937, 675a94104ea656c7061d6994",0,0,2,13,0,0,0,0
2025-04-30 15:30:04,"6719e79d6dc858aa8fb0b4cb, 6719e79d6dc858aa8fb0b4cb_6719ea326dc858aa8fb0c4e4",0,0,34,30,10,0,0,0
2025-04-30 17:20:28,675a94104ea656c7061d6994,0,0,1,7,0,0,0,0
2025-04-30 14:00:39,677b7d38054b92e7d2682612,2879,0,4,36,3,0,0,0
2025-04-30 20:40:57,"6719e79d6dc858aa8fb0b4cb, 6719e79d6dc858aa8fb0b4cb_6719e8806dc858aa8fb0b9aa",102313,47,23,2410,33,0,0,0
2025-04-30 15:17:46,"6719e79d6dc858aa8fb0b4cb, 6719e79d6dc858aa8fb0b4cb_6719ea326dc858aa8fb0c4e4",0,0,0,0,0,0,0,0
2025-04-30 19:55:06,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b3160d187c89f62cf1c",0,0,0,1,0,0,0,0
2025-04-30 20:30:53,"671b657b6dc858aa8fb90ccd, 677b7d38054b92e7d2682612",0,9,2,27,1,0,0,0
2025-04-30 20:20:57,"6719e79d6dc858aa8fb0b4cb, 6719e79d6dc858aa8fb0b4cb_6719e8806dc858aa8fb0b9aa",39708,22,7,1250,8,0,0,0
2025-04-30 20:22:14,"6710d4ef60d187c89f8e9c0d, 6710d4ef60d187c89f8e9c0d_6710d97760d187c89f8eb838",0,0,1,4,0,0,0,0
2025-04-30 16:44:13,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b0a60d187c89f62cd8f",0,0,0,1,0,0,0,0
2025-04-30 15:14:48,677b7d38054b92e7d2682612,0,5,11,84,2,0,0,0
2025-04-30 20:23:41,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b3160d187c89f62cf1c",0,0,0,1,0,0,0,0
2025-04-30 18:24:09,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_675006434ea656c706fc046a",0,2,9,50,2,0,0,0
2025-04-30 20:58:12,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b0a60d187c89f62cd8f",0,19,362,690,1,2,4,0
2025-04-30 13:00:20,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093ab260d187c89f62cc15, 67093a4c60d187c89f62c9ee_67093b0a60d187c89f62cd8f, 67093a4c60d187c89f62c9ee_67093b3160d187c89f62cf1c, 675a94104ea656c7061d6994",0,0,0,1,0,0,0,0
2025-04-30 18:07:19,671b657b6dc858aa8fb90ccd,0,1,6,84,9,0,0,0
2025-04-30 09:27:05,"6719e79d6dc858aa8fb0b4cb, 6719e79d6dc858aa8fb0b4cb_6719e8806dc858aa8fb0b9aa",252,0,0,2,0,0,0,0
2025-04-30 20:45:40,677b7d38054b92e7d2682612,0,12,49,738,203,0,1,0
2025-04-30 20:15:12,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b0a60d187c89f62cd8f",0,0,0,0,0,0,0,0
2025-04-30 17:03:25,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b0a60d187c89f62cd8f",0,1,0,0,0,0,0,0
2025-04-30 13:53:55,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b0a60d187c89f62cd8f",0,0,0,2,0,0,0,0
2025-04-30 18:34:13,"6712337860d187c89f968c13, 6712337860d187c89f968c13_6712375760d187c89f96a4df",0,0,26,36,3,0,0,0
2025-04-30 17:09:28,"6710d4ef60d187c89f8e9c0d, 6710d4ef60d187c89f8e9c0d_6710d97760d187c89f8eb838",0,0,0,3,0,0,0,0
2025-04-30 16:49:29,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b0a60d187c89f62cd8f",0,0,0,0,0,0,0,0
2025-04-30 16:26:43,"6712337860d187c89f968c13, 6712337860d187c89f968c13_671238f260d187c89f96af0e",0,0,0,1,0,0,0,0
2025-04-30 19:05:02,"6719e79d6dc858aa8fb0b4cb, 6719e79d6dc858aa8fb0b4cb_6719e8576dc858aa8fb0b8c4",0,1,0,24,4,0,0,0
2025-04-30 20:23:46,677b7d38054b92e7d2682612,0,486,183,5335,132,3,10,5
2025-05-01 04:00:32,,0,55,24,1671,2,48,22,8
2025-04-30 14:43:43,"6712337860d187c89f968c13, 6712337860d187c89f968c13_671238f260d187c89f96af0e",0,0,0,2,0,0,0,0
2025-04-30 19:04:05,677b7d38054b92e7d2682612,0,19,22,306,6,1,0,0
2025-04-30 19:00:12,"6792168e63b8fc3a5239de7d, 675a94104ea656c7061d6994",0,0,1,8,0,0,0,0
2025-04-30 14:55:33,"6792168e63b8fc3a5239de7d, 67590d8d4ea656c706188060, 67590d8d4ea656c706188060_67590dd14ea656c706188157",0,0,0,2,0,0,0,0
2025-04-30 11:11:45,677b7d38054b92e7d2682612,0,1,16,10,0,0,0,0
2025-04-30 17:47:11,"6712337860d187c89f968c13, 6712337860d187c89f968c13_6712358e60d187c89f969937",0,0,3,35,0,0,0,0
2025-04-30 21:00:58,"6719e79d6dc858aa8fb0b4cb, 6719e79d6dc858aa8fb0b4cb_6719e8806dc858aa8fb0b9aa",595970,466,271,20781,597,4,16,3
2025-04-30 20:00:07,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b3160d187c89f62cf1c",13,0,0,0,0,0,0,0
2025-04-30 17:27:23,677b7d38054b92e7d2682612,17514,31,27,226,8,14,0,1
2025-05-01 00:50:28,677b7d38054b92e7d2682612,0,12,47,1049,22,0,0,0
2025-04-30 16:33:04,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b3160d187c89f62cf1c",0,0,0,1,0,0,0,0
2025-04-30 17:01:21,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b0a60d187c89f62cd8f",0,0,3,101,7,0,0,0
2025-05-01 00:00:14,"6719e79d6dc858aa8fb0b4cb, 6719e79d6dc858aa8fb0b4cb_6719ff506dc858aa8fb14862",163839,257,121,6996,1390,0,1,1
2025-04-30 18:01:02,"6719e79d6dc858aa8fb0b4cb, 6719e79d6dc858aa8fb0b4cb_6719ea326dc858aa8fb0c4e4",0,0,0,6,0,0,0,0
